Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Algeria,Y2017,41389176,3382.9856,51106930037410.898
Algeria,Y2018,42228416,3381.9668000000001,52127511838934.898
Algeria,Y2019,43053056,3492.9953999999998,54890206195839
Americas (FAO),Y1961,431161000,2559,402719464635000
Americas (FAO),Y1962,440705000,2561,411955609325000
Americas (FAO),Y1963,450263000,2555,419904017225000
Americas (FAO),Y1964,459775000,2605,437165564375000
Americas (FAO),Y1965,469199000,2617,448181230795000
Americas (FAO),Y1966,478512000,2626,458648966880000
Americas (FAO),Y1967,487724000,2651,471929058260000
Americas (FAO),Y1968,496894000,2683,486605809730000
Americas (FAO),Y1969,506098000,2705,499683207850000
Americas (FAO),Y1970,515395000,2701,508109891675000
Americas (FAO),Y1971,524798000,2710,519103941700000
Americas (FAO),Y1972,534302000,2702,526944661460000
Americas (FAO),Y1973,543919000,2688,533649809280000
Americas (FAO),Y1974,553660000,2725,550684077500000
Americas (FAO),Y1975,563532000,2736,562765596480000
Americas (FAO),Y1976,573555000,2800,586173210000000
Americas (FAO),Y1977,583721000,2796,595710629340000
Americas (FAO),Y1978,594001000,2820,611405229300000
Americas (FAO),Y1979,604359000,2869,632875679415000
Americas (FAO),Y1980,614772000,2883,646921501740000
Americas (FAO),Y1981,625231000,2898,661350594870000
Americas (FAO),Y1982,635732000,2880,668281478400000
Americas (FAO),Y1983,646303000,2875,678214210625000
Americas (FAO),Y1984,656960000,2887,692274884800000
Americas (FAO),Y1985,667721000,2942,717018841430000
Americas (FAO),Y1986,678589000,2933,726460061005000
Americas (FAO),Y1987,689557000,2967,746759200935000
Americas (FAO),Y1988,700603000,2966,758465801770000
Americas (FAO),Y1989,711692000,2946,765275290680000
Americas (FAO),Y1990,722811000,2953,779078222295000
Americas (FAO),Y1991,733917000,2987,800156678835000
Americas (FAO),Y1992,745026000,3008,817978945920000
Americas (FAO),Y1993,756179000,3026,835192143710000
Americas (FAO),Y1994,767446000,3065,858561026350000
Americas (FAO),Y1995,778863000,3032,861952104840000
Americas (FAO),Y1996,790465000,3045,878542562625000
Americas (FAO),Y1997,802185000,3069,898595604225000
Americas (FAO),Y1998,813895000,3076,913792472300000
Americas (FAO),Y1999,825400000,3097,933036287000000
Americas (FAO),Y2000,836565000,3145,960313877625000
Americas (FAO),Y2001,847329000,3140,971123766900000
Americas (FAO),Y2002,857747000,3158,988699234490000
Americas (FAO),Y2003,867893000,3190,1010531214550000
Americas (FAO),Y2004,877910000,3207,1027641940050000
Americas (FAO),Y2005,887906000,3211,1040639150590000
Americas (FAO),Y2006,897888000,3208,1051355016960000
Americas (FAO),Y2007,907836000,3211,1063997409540000
Americas (FAO),Y2008,917757000,3211,1075624970355000
Americas (FAO),Y2009,927639000,3183,1077726352005000
Americas (FAO),Y2010,932535000,3232,1100092888800000
Americas (FAO),Y2011,942246000,3241,1114644039390000
Americas (FAO),Y2012,951843000,3249,1128776336055000
Americas (FAO),Y2013,961333000,3253,1141433930885000
Americas (FAO),Y2014,966820000,3282,1158182682600000
Americas (FAO),Y2015,975789000,3277,1167146101845000
Americas (FAO),Y2016,984581000,3276,1177302884940000
Americas (FAO),Y2017,993195000,3291,1193040731925000
Americas (FAO),Y2018,1001646000,3329,1217085029910000
Americas (FAO),Y2019,1009951000,3322,1224595886030000
Angola,Y1961,5531451,1643.7795000000001,3318757302054.8901
Angola,Y1962,5608499,1670.2954,3419265279420.6802
Angola,Y1963,5679409,1711.2670000000001,3547429598439.1001
Angola,Y1964,5734995,1733.7556,3629224089486.0298
Angola,Y1965,5770573,1767.5226,3722860640244.1802
Angola,Y1966,5781305,1806.8635999999999,3812800791224.27
Angola,Y1967,5774440,1869.6220000000001,3940547322513.2002
Angola,Y1968,5771973,1837.6800000000001,3871569360063.6001
Angola,Y1969,5803677,1950.4673,4131757006015.6699
Angola,Y1970,5890360,1977.5564999999999,4251709692449.1001
